a war	Cx=219340038	Bx=801301707
war document	Cx=5682066	Bx=15897300
war documentaries	Cx=5682066	Bx=15897300
war documentary	Cx=5682066	Bx=15897300
war documentation	Cx=5682066	Bx=15897300
war documents	Cx=5682066	Bx=15897300
war does	Cx=5682066	Bx=15897300
war doesn	Cx=5682066	Bx=15897300
war dog	Cx=5682066	Bx=15897300
war dogma	Cx=5682066	Bx=15897300
war dogs	Cx=5682066	Bx=15897300
war doin	Cx=5682066	Bx=15897300
war doing	Cx=5682066	Bx=15897300
war dollar	Cx=5682066	Bx=15897300
war dollars	Cx=5682066	Bx=15897300
war domestic	Cx=5682066	Bx=15897300
war dominance	Cx=5682066	Bx=15897300
war dominate	Cx=5682066	Bx=15897300
war dominated	Cx=5682066	Bx=15897300
war dominates	Cx=5682066	Bx=15897300
war domination	Cx=5682066	Bx=15897300
war don	Cx=5682066	Bx=15897300
war done	Cx=5682066	Bx=15897300
war doomed	Cx=5682066	Bx=15897300
war dort	Cx=5682066	Bx=15897300
war dost	Cx=5682066	Bx=15897300
war doth	Cx=5682066	Bx=15897300
war double	Cx=5682066	Bx=15897300
war doubled	Cx=5682066	Bx=15897300
war doubly	Cx=5682066	Bx=15897300
war doubtless	Cx=5682066	Bx=15897300
war douglas	Cx=5682066	Bx=15897300
war douglass	Cx=5682066	Bx=15897300
war dour	Cx=5682066	Bx=15897300
war down	Cx=5682066	Bx=15897300
war downward	Cx=5682066	Bx=15897300
war downwards	Cx=5682066	Bx=15897300
war dr	Cx=5682066	Bx=15897300
war draft	Cx=5682066	Bx=15897300
war drag	Cx=5682066	Bx=15897300
war dragged	Cx=5682066	Bx=15897300
war dragging	Cx=5682066	Bx=15897300
war drags	Cx=5682066	Bx=15897300
war drain	Cx=5682066	Bx=15897300
war drained	Cx=5682066	Bx=15897300
war drains	Cx=5682066	Bx=15897300
war drake	Cx=5682066	Bx=15897300
war drama	Cx=5682066	Bx=15897300
war dramas	Cx=5682066	Bx=15897300
war dramatic	Cx=5682066	Bx=15897300
war dramatically	Cx=5682066	Bx=15897300
war dramatists	Cx=5682066	Bx=15897300
war dramatized	Cx=5682066	Bx=15897300
war drastically	Cx=5682066	Bx=15897300
war draw	Cx=5682066	Bx=15897300
war drawdown	Cx=5682066	Bx=15897300
war drawing	Cx=5682066	Bx=15897300
war drawings	Cx=5682066	Bx=15897300
war drawn	Cx=5682066	Bx=15897300
war draws	Cx=5682066	Bx=15897300
war dreadful	Cx=5682066	Bx=15897300
war dream	Cx=5682066	Bx=15897300
war dreams	Cx=5682066	Bx=15897300
war dress	Cx=5682066	Bx=15897300
war dressed	Cx=5682066	Bx=15897300
war dresses	Cx=5682066	Bx=15897300
war drew	Cx=5682066	Bx=15897300
war dried	Cx=5682066	Bx=15897300
war drift	Cx=5682066	Bx=15897300
war drifted	Cx=5682066	Bx=15897300
war drifting	Cx=5682066	Bx=15897300
war drifts	Cx=5682066	Bx=15897300
war drills	Cx=5682066	Bx=15897300
war drink	Cx=5682066	Bx=15897300
war drive	Cx=5682066	Bx=15897300
war driven	Cx=5682066	Bx=15897300
war driver	Cx=5682066	Bx=15897300
war drivers	Cx=5682066	Bx=15897300
war drives	Cx=5682066	Bx=15897300
war driving	Cx=5682066	Bx=15897300
war drop	Cx=5682066	Bx=15897300
war dropped	Cx=5682066	Bx=15897300
war drops	Cx=5682066	Bx=15897300
war drove	Cx=5682066	Bx=15897300
war drowned	Cx=5682066	Bx=15897300
war drum	Cx=5682066	Bx=15897300
war drummer	Cx=5682066	Bx=15897300
war drums	Cx=5682066	Bx=15897300
war drunk	Cx=5682066	Bx=15897300
war ds	Cx=5682066	Bx=15897300
war du	Cx=5682066	Bx=15897300
war due	Cx=5682066	Bx=15897300
war dug	Cx=5682066	Bx=15897300
war duly	Cx=5682066	Bx=15897300
war duration	Cx=5682066	Bx=15897300
war durch	Cx=5682066	Bx=15897300
war during	Cx=5682066	Bx=15897300
war dutch	Cx=5682066	Bx=15897300
war duties	Cx=5682066	Bx=15897300
war duty	Cx=5682066	Bx=15897300
war dwarfed	Cx=5682066	Bx=15897300
war dwell	Cx=5682066	Bx=15897300
war dwight	Cx=5682066	Bx=15897300
war dwindled	Cx=5682066	Bx=15897300
war dying	Cx=5682066	Bx=15897300
war dynamics	Cx=5682066	Bx=15897300
war e	Cx=5682066	Bx=15897300
war each	Cx=5682066	Bx=15897300
war eager	Cx=5682066	Bx=15897300
war eagerly	Cx=5682066	Bx=15897300
war eagle	Cx=5682066	Bx=15897300
war eagles	Cx=5682066	Bx=15897300
war earl	Cx=5682066	Bx=15897300
war earlier	Cx=5682066	Bx=15897300
war early	Cx=5682066	Bx=15897300
war earned	Cx=5682066	Bx=15897300
war earnestly	Cx=5682066	Bx=15897300
war earnings	Cx=5682066	Bx=15897300
war earthworks	Cx=5682066	Bx=15897300
war eased	Cx=5682066	Bx=15897300
war easier	Cx=5682066	Bx=15897300
war easily	Cx=5682066	Bx=15897300
war east	Cx=5682066	Bx=15897300
war eastern	Cx=5682066	Bx=15897300
war eastward	Cx=5682066	Bx=15897300
war easy	Cx=5682066	Bx=15897300
war eaton	Cx=5682066	Bx=15897300
war eats	Cx=5682066	Bx=15897300
war ebbed	Cx=5682066	Bx=15897300
war eben	Cx=5682066	Bx=15897300
war echoed	Cx=5682066	Bx=15897300
war echoes	Cx=5682066	Bx=15897300
war eclipsed	Cx=5682066	Bx=15897300
war eclogue	Cx=5682066	Bx=15897300
war econ	Cx=5682066	Bx=15897300
war economic	Cx=5682066	Bx=15897300
war economically	Cx=5682066	Bx=15897300
war economics	Cx=5682066	Bx=15897300
war economies	Cx=5682066	Bx=15897300
war economists	Cx=5682066	Bx=15897300
war economy	Cx=5682066	Bx=15897300
war ed	Cx=5682066	Bx=15897300
war edema	Cx=5682066	Bx=15897300
war edged	Cx=5682066	Bx=15897300
war edited	Cx=5682066	Bx=15897300
war edition	Cx=5682066	Bx=15897300
war editions	Cx=5682066	Bx=15897300
war editor	Cx=5682066	Bx=15897300
war editorial	Cx=5682066	Bx=15897300
war editorials	Cx=5682066	Bx=15897300
war editors	Cx=5682066	Bx=15897300
war educated	Cx=5682066	Bx=15897300
war educates	Cx=5682066	Bx=15897300
war education	Cx=5682066	Bx=15897300
war educational	Cx=5682066	Bx=15897300
war edward	Cx=5682066	Bx=15897300
war edwin	Cx=5682066	Bx=15897300
war ef	Cx=5682066	Bx=15897300
war effect	Cx=5682066	Bx=15897300
war effected	Cx=5682066	Bx=15897300
war effective	Cx=5682066	Bx=15897300
war effectively	Cx=5682066	Bx=15897300
war effectiveness	Cx=5682066	Bx=15897300
war effects	Cx=5682066	Bx=15897300
war effectually	Cx=5682066	Bx=15897300
war efficiency	Cx=5682066	Bx=15897300
war efficiently	Cx=5682066	Bx=15897300
war effort	Cx=5682066	Bx=15897300
war efforts	Cx=5682066	Bx=15897300
war eft	Cx=5682066	Bx=15897300
war egypt	Cx=5682066	Bx=15897300
war egyptian	Cx=5682066	Bx=15897300
war eigentlich	Cx=5682066	Bx=15897300
war eight	Cx=5682066	Bx=15897300
war eighteen	Cx=5682066	Bx=15897300
war eighty	Cx=5682066	Bx=15897300
war ein	Cx=5682066	Bx=15897300
war eine	Cx=5682066	Bx=15897300
war einer	Cx=5682066	Bx=15897300
war einmal	Cx=5682066	Bx=15897300
war einst	Cx=5682066	Bx=15897300
war eisenhower	Cx=5682066	Bx=15897300
war either	Cx=5682066	Bx=15897300
war el	Cx=5682066	Bx=15897300
war elaborated	Cx=5682066	Bx=15897300
war elapsed	Cx=5682066	Bx=15897300
war elected	Cx=5682066	Bx=15897300
war election	Cx=5682066	Bx=15897300
war elections	Cx=5682066	Bx=15897300
war electoral	Cx=5682066	Bx=15897300
war electric	Cx=5682066	Bx=15897300
war elegies	Cx=5682066	Bx=15897300
war element	Cx=5682066	Bx=15897300
war elements	Cx=5682066	Bx=15897300
war elephant	Cx=5682066	Bx=15897300
war elephants	Cx=5682066	Bx=15897300
war elevated	Cx=5682066	Bx=15897300
war eleven	Cx=5682066	Bx=15897300
war elicited	Cx=5682066	Bx=15897300
war elicits	Cx=5682066	Bx=15897300
war elihu	Cx=5682066	Bx=15897300
war eliminated	Cx=5682066	Bx=15897300
war eliminates	Cx=5682066	Bx=15897300
war elite	Cx=5682066	Bx=15897300
war elizabeth	Cx=5682066	Bx=15897300
war elsewhere	Cx=5682066	Bx=15897300
war em	Cx=5682066	Bx=15897300
war emanated	Cx=5682066	Bx=15897300
war emanating	Cx=5682066	Bx=15897300
war emancipated	Cx=5682066	Bx=15897300
war emancipation	Cx=5682066	Bx=15897300
war embargo	Cx=5682066	Bx=15897300
war embargoes	Cx=5682066	Bx=15897300
war embarked	Cx=5682066	Bx=15897300
war embittered	Cx=5682066	Bx=15897300
war emblem	Cx=5682066	Bx=15897300
war emblems	Cx=5682066	Bx=15897300
war embodied	Cx=5682066	Bx=15897300
war embrace	Cx=5682066	Bx=15897300
war embraced	Cx=5682066	Bx=15897300
war embraces	Cx=5682066	Bx=15897300
war embracing	Cx=5682066	Bx=15897300
war emerge	Cx=5682066	Bx=15897300
war emerged	Cx=5682066	Bx=15897300
war emergence	Cx=5682066	Bx=15897300
war emergencies	Cx=5682066	Bx=15897300
war emergency	Cx=5682066	Bx=15897300
war emerges	Cx=5682066	Bx=15897300
war emerging	Cx=5682066	Bx=15897300
war emigrated	Cx=5682066	Bx=15897300
war emigration	Cx=5682066	Bx=15897300
war emotion	Cx=5682066	Bx=15897300
war emotionalism	Cx=5682066	Bx=15897300
war emotionally	Cx=5682066	Bx=15897300
war emotions	Cx=5682066	Bx=15897300
war emphasis	Cx=5682066	Bx=15897300
war emphasize	Cx=5682066	Bx=15897300
war emphasized	Cx=5682066	Bx=15897300
war emphasizes	Cx=5682066	Bx=15897300
war empire	Cx=5682066	Bx=15897300
war employed	Cx=5682066	Bx=15897300
war employees	Cx=5682066	Bx=15897300
war employers	Cx=5682066	Bx=15897300
war employing	Cx=5682066	Bx=15897300
war employment	Cx=5682066	Bx=15897300
war employs	Cx=5682066	Bx=15897300
war empowered	Cx=5682066	Bx=15897300
war emptied	Cx=5682066	Bx=15897300
war empty	Cx=5682066	Bx=15897300
war en	Cx=5682066	Bx=15897300
war enable	Cx=5682066	Bx=15897300
war enabled	Cx=5682066	Bx=15897300
war enables	Cx=5682066	Bx=15897300
war enacted	Cx=5682066	Bx=15897300
war enactments	Cx=5682066	Bx=15897300
war encampment	Cx=5682066	Bx=15897300
war enclosed	Cx=5682066	Bx=15897300
war enclosure	Cx=5682066	Bx=15897300
war enclosures	Cx=5682066	Bx=15897300
war encompassed	Cx=5682066	Bx=15897300
war encompasses	Cx=5682066	Bx=15897300
war encounter	Cx=5682066	Bx=15897300
war encountered	Cx=5682066	Bx=15897300
war encounters	Cx=5682066	Bx=15897300
war encourage	Cx=5682066	Bx=15897300
war encouraged	Cx=5682066	Bx=15897300
war encourages	Cx=5682066	Bx=15897300
war encyclopedia	Cx=5682066	Bx=15897300
war end	Cx=5682066	Bx=15897300
war endangered	Cx=5682066	Bx=15897300
war endangers	Cx=5682066	Bx=15897300
war endeavor	Cx=5682066	Bx=15897300
war endeavored	Cx=5682066	Bx=15897300
war endeavors	Cx=5682066	Bx=15897300
war ended	Cx=5682066	Bx=15897300
war endicott	Cx=5682066	Bx=15897300
war ending	Cx=5682066	Bx=15897300
war ends	Cx=5682066	Bx=15897300
war endurable	Cx=5682066	Bx=15897300
war endure	Cx=5682066	Bx=15897300
war endured	Cx=5682066	Bx=15897300
war endures	Cx=5682066	Bx=15897300
war enemies	Cx=5682066	Bx=15897300
war enemy	Cx=5682066	Bx=15897300
war energetically	Cx=5682066	Bx=15897300
war energies	Cx=5682066	Bx=15897300
war energy	Cx=5682066	Bx=15897300
war enforced	Cx=5682066	Bx=15897300
war enforces	Cx=5682066	Bx=15897300
war engage	Cx=5682066	Bx=15897300
war engaged	Cx=5682066	Bx=15897300
war engagement	Cx=5682066	Bx=15897300
war engagements	Cx=5682066	Bx=15897300
war engages	Cx=5682066	Bx=15897300
war engaging	Cx=5682066	Bx=15897300
war engendered	Cx=5682066	Bx=15897300
war engenders	Cx=5682066	Bx=15897300
war engine	Cx=5682066	Bx=15897300
war engineered	Cx=5682066	Bx=15897300
war engineering	Cx=5682066	Bx=15897300
war engineers	Cx=5682066	Bx=15897300
war engines	Cx=5682066	Bx=15897300
war england	Cx=5682066	Bx=15897300
war english	Cx=5682066	Bx=15897300
war englishmen	Cx=5682066	Bx=15897300
war engrossed	Cx=5682066	Bx=15897300
war engulfed	Cx=5682066	Bx=15897300
war engulfing	Cx=5682066	Bx=15897300
war engulfs	Cx=5682066	Bx=15897300
war enhanced	Cx=5682066	Bx=15897300
war enhances	Cx=5682066	Bx=15897300
war enjoined	Cx=5682066	Bx=15897300
war enjoy	Cx=5682066	Bx=15897300
war enjoyed	Cx=5682066	Bx=15897300
war enjoys	Cx=5682066	Bx=15897300
war enlarged	Cx=5682066	Bx=15897300
war enlisted	Cx=5682066	Bx=15897300
war enlisting	Cx=5682066	Bx=15897300
war enlistment	Cx=5682066	Bx=15897300
war ennobles	Cx=5682066	Bx=15897300
war enormous	Cx=5682066	Bx=15897300
war enormously	Cx=5682066	Bx=15897300
war enough	Cx=5682066	Bx=15897300
war enriched	Cx=5682066	Bx=15897300
war enrolled	Cx=5682066	Bx=15897300
war enrollment	Cx=5682066	Bx=15897300
war enrollments	Cx=5682066	Bx=15897300
war ensign	Cx=5682066	Bx=15897300
war ensue	Cx=5682066	Bx=15897300
war ensued	Cx=5682066	Bx=15897300
war ensues	Cx=5682066	Bx=15897300
war ensuing	Cx=5682066	Bx=15897300
war ensured	Cx=5682066	Bx=15897300
war entail	Cx=5682066	Bx=15897300
war entailed	Cx=5682066	Bx=15897300
war entailing	Cx=5682066	Bx=15897300
war entails	Cx=5682066	Bx=15897300
war enter	Cx=5682066	Bx=15897300
war entered	Cx=5682066	Bx=15897300
war entering	Cx=5682066	Bx=15897300
war enterprise	Cx=5682066	Bx=15897300
war enterprises	Cx=5682066	Bx=15897300
war enters	Cx=5682066	Bx=15897300
war entertained	Cx=5682066	Bx=15897300
war enthusiasm	Cx=5682066	Bx=15897300
war enthusiasms	Cx=5682066	Bx=15897300
war enthusiast	Cx=5682066	Bx=15897300
war enthusiastically	Cx=5682066	Bx=15897300
war enthusiasts	Cx=5682066	Bx=15897300
war entire	Cx=5682066	Bx=15897300
war entirely	Cx=5682066	Bx=15897300
war entitled	Cx=5682066	Bx=15897300
war entitles	Cx=5682066	Bx=15897300
war entrusted	Cx=5682066	Bx=15897300
war entry	Cx=5682066	Bx=15897300
war enumerated	Cx=5682066	Bx=15897300
war enveloped	Cx=5682066	Bx=15897300
war enver	Cx=5682066	Bx=15897300
war environment	Cx=5682066	Bx=15897300
war environments	Cx=5682066	Bx=15897300
war envisaged	Cx=5682066	Bx=15897300
war envisioned	Cx=5682066	Bx=15897300
war epervier	Cx=5682066	Bx=15897300
war epic	Cx=5682066	Bx=15897300
war epics	Cx=5682066	Bx=15897300
war epidemic	Cx=5682066	Bx=15897300
war epidemics	Cx=5682066	Bx=15897300
war episode	Cx=5682066	Bx=15897300
war episodes	Cx=5682066	Bx=15897300
war epoch	Cx=5682066	Bx=15897300
war equal	Cx=5682066	Bx=15897300
war equaled	Cx=5682066	Bx=15897300
war equalled	Cx=5682066	Bx=15897300
war equally	Cx=5682066	Bx=15897300
war equals	Cx=5682066	Bx=15897300
war equilibrium	Cx=5682066	Bx=15897300
war equipment	Cx=5682066	Bx=15897300
war equipments	Cx=5682066	Bx=15897300
war equipped	Cx=5682066	Bx=15897300
war equivalent	Cx=5682066	Bx=15897300
war er	Cx=5682066	Bx=15897300
war era	Cx=5682066	Bx=15897300
war eras	Cx=5682066	Bx=15897300
war erased	Cx=5682066	Bx=15897300
war ere	Cx=5682066	Bx=15897300
war erected	Cx=5682066	Bx=15897300
war erie	Cx=5682066	Bx=15897300
war ernst	Cx=5682066	Bx=15897300
war eroded	Cx=5682066	Bx=15897300
war erst	Cx=5682066	Bx=15897300
war erupt	Cx=5682066	Bx=15897300
war erupted	Cx=5682066	Bx=15897300
war erupting	Cx=5682066	Bx=15897300
war erupts	Cx=5682066	Bx=15897300
war es	Cx=5682066	Bx=15897300
war escalate	Cx=5682066	Bx=15897300
war escalated	Cx=5682066	Bx=15897300
war escalates	Cx=5682066	Bx=15897300
war escalating	Cx=5682066	Bx=15897300
war escalation	Cx=5682066	Bx=15897300
war escape	Cx=5682066	Bx=15897300
war escaped	Cx=5682066	Bx=15897300
war escapes	Cx=5682066	Bx=15897300
war escaping	Cx=5682066	Bx=15897300
war escort	Cx=5682066	Bx=15897300
war escorted	Cx=5682066	Bx=15897300
war escorting	Cx=5682066	Bx=15897300
war especially	Cx=5682066	Bx=15897300
war espionage	Cx=5682066	Bx=15897300
war espoused	Cx=5682066	Bx=15897300
war essay	Cx=5682066	Bx=15897300
war essays	Cx=5682066	Bx=15897300
war essential	Cx=5682066	Bx=15897300
war essentially	Cx=5682066	Bx=15897300
war essentials	Cx=5682066	Bx=15897300
war establish	Cx=5682066	Bx=15897300
war established	Cx=5682066	Bx=15897300
war establishes	Cx=5682066	Bx=15897300
war establishment	Cx=5682066	Bx=15897300
war establishments	Cx=5682066	Bx=15897300
war estate	Cx=5682066	Bx=15897300
war estates	Cx=5682066	Bx=15897300
war estimate	Cx=5682066	Bx=15897300
war estimated	Cx=5682066	Bx=15897300
war estimates	Cx=5682066	Bx=15897300
war et	Cx=5682066	Bx=15897300
war etc	Cx=5682066	Bx=15897300
war etchings	Cx=5682066	Bx=15897300
war eternal	Cx=5682066	Bx=15897300
war eternally	Cx=5682066	Bx=15897300
war ethic	Cx=5682066	Bx=15897300
war ethics	Cx=5682066	Bx=15897300
war ethnic	Cx=5682066	Bx=15897300
war ethos	Cx=5682066	Bx=15897300
war etwas	Cx=5682066	Bx=15897300
war euphoria	Cx=5682066	Bx=15897300
war europe	Cx=5682066	Bx=15897300
war european	Cx=5682066	Bx=15897300
war europeans	Cx=5682066	Bx=15897300
war eustis	Cx=5682066	Bx=15897300
war evacuation	Cx=5682066	Bx=15897300
war evaporated	Cx=5682066	Bx=15897300
war even	Cx=5682066	Bx=15897300
war event	Cx=5682066	Bx=15897300
war events	Cx=5682066	Bx=15897300
war eventually	Cx=5682066	Bx=15897300
war eventuated	Cx=5682066	Bx=15897300
war eventuates	Cx=5682066	Bx=15897300
war ever	Cx=5682066	Bx=15897300
war every	Cx=5682066	Bx=15897300
war everybody	Cx=5682066	Bx=15897300
war everyone	Cx=5682066	Bx=15897300
war everything	Cx=5682066	Bx=15897300
war everywhere	Cx=5682066	Bx=15897300
war evidence	Cx=5682066	Bx=15897300
war evident	Cx=5682066	Bx=15897300
war evidently	Cx=5682066	Bx=15897300
war evil	Cx=5682066	Bx=15897300
war evils	Cx=5682066	Bx=15897300
war evinced	Cx=5682066	Bx=15897300
war evoked	Cx=5682066	Bx=15897300
war evokes	Cx=5682066	Bx=15897300
war evolution	Cx=5682066	Bx=15897300
war evolved	Cx=5682066	Bx=15897300
war evolves	Cx=5682066	Bx=15897300
war ex	Cx=5682066	Bx=15897300
war exacerbated	Cx=5682066	Bx=15897300
war exact	Cx=5682066	Bx=15897300
war exacted	Cx=5682066	Bx=15897300
war exactly	Cx=5682066	Bx=15897300
war exacts	Cx=5682066	Bx=15897300
war exaggerated	Cx=5682066	Bx=15897300
war exalted	Cx=5682066	Bx=15897300
war exalts	Cx=5682066	Bx=15897300
war examination	Cx=5682066	Bx=15897300
war examined	Cx=5682066	Bx=15897300
war example	Cx=5682066	Bx=15897300
war examples	Cx=5682066	Bx=15897300
war exasperated	Cx=5682066	Bx=15897300
war excavations	Cx=5682066	Bx=15897300
war exceed	Cx=5682066	Bx=15897300
war exceeded	Cx=5682066	Bx=15897300
war exceeding	Cx=5682066	Bx=15897300
war exceedingly	Cx=5682066	Bx=15897300
war exceeds	Cx=5682066	Bx=15897300
war excellent	Cx=5682066	Bx=15897300
war except	Cx=5682066	Bx=15897300
war excepted	Cx=5682066	Bx=15897300
war excepting	Cx=5682066	Bx=15897300
war excess	Cx=5682066	Bx=15897300
war excesses	Cx=5682066	Bx=15897300
war exchange	Cx=5682066	Bx=15897300
war exchanged	Cx=5682066	Bx=15897300
war exchanges	Cx=5682066	Bx=15897300
war excise	Cx=5682066	Bx=15897300
war excite	Cx=5682066	Bx=15897300
war excited	Cx=5682066	Bx=15897300
war excitement	Cx=5682066	Bx=15897300
war excitements	Cx=5682066	Bx=15897300
war excites	Cx=5682066	Bx=15897300
war exciting	Cx=5682066	Bx=15897300
war exclaimed	Cx=5682066	Bx=15897300
war excluded	Cx=5682066	Bx=15897300
war exclusion	Cx=5682066	Bx=15897300
war exclusively	Cx=5682066	Bx=15897300
war excursion	Cx=5682066	Bx=15897300
war excursions	Cx=5682066	Bx=15897300
war excuse	Cx=5682066	Bx=15897300
war excuses	Cx=5682066	Bx=15897300
war excusing	Cx=5682066	Bx=15897300
war executed	Cx=5682066	Bx=15897300
war executive	Cx=5682066	Bx=15897300
war exemplified	Cx=5682066	Bx=15897300
war exemplifies	Cx=5682066	Bx=15897300
war exempt	Cx=5682066	Bx=15897300
war exemption	Cx=5682066	Bx=15897300
war exercise	Cx=5682066	Bx=15897300
war exercised	Cx=5682066	Bx=15897300
war exercises	Cx=5682066	Bx=15897300
war exerted	Cx=5682066	Bx=15897300
war exhausted	Cx=5682066	Bx=15897300
war exhaustion	Cx=5682066	Bx=15897300
war exhibit	Cx=5682066	Bx=15897300
war exhibited	Cx=5682066	Bx=15897300
war exhibition	Cx=5682066	Bx=15897300
war exhibitions	Cx=5682066	Bx=15897300
war exhibits	Cx=5682066	Bx=15897300
war exigencies	Cx=5682066	Bx=15897300
war exigency	Cx=5682066	Bx=15897300
war exile	Cx=5682066	Bx=15897300
war exiles	Cx=5682066	Bx=15897300
war exist	Cx=5682066	Bx=15897300
war existed	Cx=5682066	Bx=15897300
war existence	Cx=5682066	Bx=15897300
war existing	Cx=5682066	Bx=15897300
war exists	Cx=5682066	Bx=15897300
war expand	Cx=5682066	Bx=15897300
war expanded	Cx=5682066	Bx=15897300
war expanding	Cx=5682066	Bx=15897300
war expands	Cx=5682066	Bx=15897300
war expansion	Cx=5682066	Bx=15897300
war expect	Cx=5682066	Bx=15897300
war expectations	Cx=5682066	Bx=15897300
war expected	Cx=5682066	Bx=15897300
war expecting	Cx=5682066	Bx=15897300
war expects	Cx=5682066	Bx=15897300
war expediency	Cx=5682066	Bx=15897300
war expedient	Cx=5682066	Bx=15897300
war expedients	Cx=5682066	Bx=15897300
war expedition	Cx=5682066	Bx=15897300
war expeditions	Cx=5682066	Bx=15897300
war expenditure	Cx=5682066	Bx=15897300
war expenditures	Cx=5682066	Bx=15897300
war expense	Cx=5682066	Bx=15897300
war expenses	Cx=5682066	Bx=15897300
war expensive	Cx=5682066	Bx=15897300
war experience	Cx=5682066	Bx=15897300
war experienced	Cx=5682066	Bx=15897300
war experiences	Cx=5682066	Bx=15897300
war experiment	Cx=5682066	Bx=15897300
war experimental	Cx=5682066	Bx=15897300
war experiments	Cx=5682066	Bx=15897300
war expert	Cx=5682066	Bx=15897300
war experts	Cx=5682066	Bx=15897300
war expired	Cx=5682066	Bx=15897300
war explain	Cx=5682066	Bx=15897300
war explained	Cx=5682066	Bx=15897300
war explains	Cx=5682066	Bx=15897300
war explicitly	Cx=5682066	Bx=15897300
war exploded	Cx=5682066	Bx=15897300
war exploding	Cx=5682066	Bx=15897300
war exploit	Cx=5682066	Bx=15897300
war exploitation	Cx=5682066	Bx=15897300
war exploits	Cx=5682066	Bx=15897300
war explosion	Cx=5682066	Bx=15897300
war explosives	Cx=5682066	Bx=15897300
war export	Cx=5682066	Bx=15897300
war exports	Cx=5682066	Bx=15897300
war expose	Cx=5682066	Bx=15897300
war exposed	Cx=5682066	Bx=15897300
war exposes	Cx=5682066	Bx=15897300
war exposition	Cx=5682066	Bx=15897300
war exposure	Cx=5682066	Bx=15897300
war express	Cx=5682066	Bx=15897300
war expressed	Cx=5682066	Bx=15897300
war expresses	Cx=5682066	Bx=15897300
war expression	Cx=5682066	Bx=15897300
war expressions	Cx=5682066	Bx=15897300
war expressly	Cx=5682066	Bx=15897300
war extend	Cx=5682066	Bx=15897300
war extended	Cx=5682066	Bx=15897300
war extending	Cx=5682066	Bx=15897300
war extends	Cx=5682066	Bx=15897300
war extension	Cx=5682066	Bx=15897300
war extensive	Cx=5682066	Bx=15897300
war external	Cx=5682066	Bx=15897300
war externally	Cx=5682066	Bx=15897300
war extinguished	Cx=5682066	Bx=15897300
war extra	Cx=5682066	Bx=15897300
war extraordinary	Cx=5682066	Bx=15897300
war extras	Cx=5682066	Bx=15897300
war extravagance	Cx=5682066	Bx=15897300
war extremely	Cx=5682066	Bx=15897300
war extremists	Cx=5682066	Bx=15897300
war ez	Cx=5682066	Bx=15897300
war f	Cx=5682066	Bx=15897300
war fa	Cx=5682066	Bx=15897300
war face	Cx=5682066	Bx=15897300
war faced	Cx=5682066	Bx=15897300
war faces	Cx=5682066	Bx=15897300
war facilitated	Cx=5682066	Bx=15897300
war facilities	Cx=5682066	Bx=15897300
war facility	Cx=5682066	Bx=15897300
war facing	Cx=5682066	Bx=15897300
war fact	Cx=5682066	Bx=15897300
war faction	Cx=5682066	Bx=15897300
war factions	Cx=5682066	Bx=15897300
war factor	Cx=5682066	Bx=15897300
war factories	Cx=5682066	Bx=15897300
war factors	Cx=5682066	Bx=15897300
war factory	Cx=5682066	Bx=15897300
war facts	Cx=5682066	Bx=15897300
war fade	Cx=5682066	Bx=15897300
war faded	Cx=5682066	Bx=15897300
war fades	Cx=5682066	Bx=15897300
war fading	Cx=5682066	Bx=15897300
war fail	Cx=5682066	Bx=15897300
war failed	Cx=5682066	Bx=15897300
war fails	Cx=5682066	Bx=15897300
war failure	Cx=5682066	Bx=15897300
war failures	Cx=5682066	Bx=15897300
war faint	Cx=5682066	Bx=15897300
war fair	Cx=5682066	Bx=15897300
war fairfield	Cx=5682066	Bx=15897300
war fairly	Cx=5682066	Bx=15897300
war faith	Cx=5682066	Bx=15897300
war faithfully	Cx=5682066	Bx=15897300
war falcon	Cx=5682066	Bx=15897300
war fall	Cx=5682066	Bx=15897300
war fallen	Cx=5682066	Bx=15897300
war falling	Cx=5682066	Bx=15897300
war falls	Cx=5682066	Bx=15897300
war falmouth	Cx=5682066	Bx=15897300
war false	Cx=5682066	Bx=15897300
war fame	Cx=5682066	Bx=15897300
war familiar	Cx=5682066	Bx=15897300
war families	Cx=5682066	Bx=15897300
war family	Cx=5682066	Bx=15897300
war famine	Cx=5682066	Bx=15897300
war famous	Cx=5682066	Bx=15897300
war fan	Cx=5682066	Bx=15897300
war fanatic	Cx=5682066	Bx=15897300
war fanatics	Cx=5682066	Bx=15897300
war fancied	Cx=5682066	Bx=15897300
war fanned	Cx=5682066	Bx=15897300
war fans	Cx=5682066	Bx=15897300
war fantasies	Cx=5682066	Bx=15897300
war fantasy	Cx=5682066	Bx=15897300
war far	Cx=5682066	Bx=15897300
war fare	Cx=5682066	Bx=15897300
war fared	Cx=5682066	Bx=15897300
war farm	Cx=5682066	Bx=15897300
war farmers	Cx=5682066	Bx=15897300
war farming	Cx=5682066	Bx=15897300
war farther	Cx=5682066	Bx=15897300
war fascinated	Cx=5682066	Bx=15897300
war fascism	Cx=5682066	Bx=15897300
war fascist	Cx=5682066	Bx=15897300
war fashion	Cx=5682066	Bx=15897300
war fashions	Cx=5682066	Bx=15897300
war fast	Cx=5682066	Bx=15897300
war faster	Cx=5682066	Bx=15897300
war fat	Cx=5682066	Bx=15897300
war fatal	Cx=5682066	Bx=15897300
